drug_name,target,ChemicalStructure
Docetaxel,Microtubule-associated protein tau,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Docetaxel,Nuclear receptor subfamily 1 group I member 2,[H][C@@]12C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C4=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)C5=CC=CC=C5)[C@]3([H])[C@@]1(CO2)OC(C)=O)C4(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
Doconexent,Peroxisome proliferator-activated receptor alpha,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Doconexent,Peroxisome proliferator-activated receptor gamma,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Doconexent,Retinoic acid receptor RXR-alpha,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Doconexent,Retinoic acid receptor RXR-beta,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Doconexent,Retinoic acid receptor RXR-gamma,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Doconexent,Sterol regulatory element-binding protein 1,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(O)=O
Docosanol,Envelope glycoprotein GP350,CCCCCCCCCCCCCCCCCCCCCCO
Docosanol,Envelope glycoprotein GP340,CCCCCCCCCCCCCCCCCCCCCCO
Dodecane-Trimethylamine,Tyrosine-protein phosphatase non-receptor type 11,CCCCCCCCCCCC[N+](C)(C)C
Dodecyl sulfate,Lysozyme C,CCCCCCCCCCCCOS(O)(=O)=O
Dodecyl sulfate,Lipid A palmitoyltransferase PagP,CCCCCCCCCCCCOS(O)(=O)=O
Dodecyl-Alpha-D-Maltoside,Retinoic acid receptor gamma,[H][C@]1(O)[C@]([H])(O)[C@@]([H])(CO)O[C@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(OCCCCCCCCCCCC)O[C@]2([H])CO)[C@]1([H])O
Dodecyl-Coa,3-oxoacyl-[acyl-carrier-protein] synthase 3,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
Dodecyl-Coa,Fatty acid metabolism regulator protein,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
Dofequidar,ATP-binding cassette sub-family B member 5,OC(COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Dofequidar,Multidrug resistance protein 1,OC(COC1=CC=CC2=C1C=CC=N2)CN1CCN(CC1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Dofetilide,Potassium voltage-gated channel subfamily H member 2,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
Dofetilide,Potassium channel subfamily K member 2,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
Dofetilide,ATP-sensitive inward rectifier potassium channel 12,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1
Dolasetron,5-hydroxytryptamine receptor 3A,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2
Dolutegravir,Integrase,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2
Domoic Acid,"Glutamate receptor ionotropic, kainate 2",[H]\C(\C(\[H])=C(\C)[C@@]1([H])CN[C@]([H])(C(O)=O)[C@@]1([H])CC(O)=O)=C(\[H])[C@@]([H])(C)C(O)=O
Domperidone,D(2) dopamine receptor,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2
Domperidone,D(3) dopamine receptor,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=CC=CC=C34)CC1)C(=O)N2
Donepezil,Acetylcholinesterase,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
Donepezil,5-hydroxytryptamine receptor 2A,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
Dopamine,D(2) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(1A) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(1B) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(3) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(4) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,Sodium-dependent dopamine transporter,NCCC1=CC(O)=C(O)C=C1
Dopamine,Dopamine beta-hydroxylase,NCCC1=CC(O)=C(O)C=C1
Dopamine,5-hydroxytryptamine receptor 1A,NCCC1=CC(O)=C(O)C=C1
Dopamine,5-hydroxytryptamine receptor 7,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(1A) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,D(1B) dopamine receptor,NCCC1=CC(O)=C(O)C=C1
Dopamine,Sodium-dependent noradrenaline transporter,NCCC1=CC(O)=C(O)C=C1
Dopamine,Sodium-dependent serotonin transporter,NCCC1=CC(O)=C(O)C=C1
Dopamine,5-hydroxytryptamine receptor 3A,NCCC1=CC(O)=C(O)C=C1
Dopamine,5-hydroxytryptamine receptor 3B,NCCC1=CC(O)=C(O)C=C1
Dopamine,Superoxide dismutase [Cu-Zn],NCCC1=CC(O)=C(O)C=C1
Dopamine,Synaptic vesicular amine transporter,NCCC1=CC(O)=C(O)C=C1
Doravirine,Reverse transcriptase/RNaseH,CN1C(O)=NN=C1CN1C=CC(=C(OC2=CC(=CC(Cl)=C2)C#N)C1=O)C(F)(F)F
Doripenem,Penicillin-binding protein 1A,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Doripenem,Penicillin-binding protein 1B,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Doripenem,Penicillin-binding protein 2,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Doripenem,Cell division protein,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Doripenem,Penicillin-binding protein 4,[H][C@]12[C@@H](C)C(S[C@]3([H])CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O
Dorzolamide,Carbonic anhydrase 2,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
Dorzolamide,Carbonic anhydrase 4,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
Dorzolamide,Carbonic anhydrase 1,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
Dorzolamide,Carbonic anhydrase 3,CCN[C@H]1C[C@H](C)S(=O)(=O)C2=C1C=C(S2)S(N)(=O)=O
Dosulepin,5-hydroxytryptamine receptor 1A,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,5-hydroxytryptamine receptor 2A,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Histamine H1 receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Muscarinic acetylcholine receptor M1,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Muscarinic acetylcholine receptor M2,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Muscarinic acetylcholine receptor M3,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Muscarinic acetylcholine receptor M4,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Muscarinic acetylcholine receptor M5,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-2A adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-2B adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-2C adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-1A adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-1B adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Alpha-1D adrenergic receptor,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Sodium-dependent noradrenaline transporter,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dosulepin,Sodium-dependent serotonin transporter,CN(C)CC\C=C1/C2=CC=CC=C2CSC2=CC=CC=C12
Dotarizine,5-hydroxytryptamine receptor 1A,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1
Dotarizine,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1
Dotarizine,5-hydroxytryptamine receptor 2A,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1
Dotarizine,5-hydroxytryptamine receptor 2C,C(CN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)CC1(OCCO1)C1=CC=CC=C1
Dotatate gallium Ga-68,Somatostatin receptor type 2,[Ga+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O
Dovitinib,Nuclear receptor subfamily 1 group I member 2,CN1CCN(CC1)C1=CC=C2N=C(NC2=C1)C1=C(N)C2=C(NC1=O)C=CC=C2F
Doxacurium,Neuronal acetylcholine receptor subunit alpha-2,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
Doxacurium,Muscarinic acetylcholine receptor M2,COC1=CC(CC2C3=C(OC)C(OC)=C(OC)C=C3CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCC3=CC(OC)=C(OC)C(OC)=C3C2CC2=CC(OC)=C(OC)C(OC)=C2)=CC(OC)=C1OC
Doxapram,Potassium channel subfamily K member 3,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
Doxapram,Potassium channel subfamily K member 9,CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1
Doxazosin,Alpha-1A adrenergic receptor,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxazosin,Alpha-1B adrenergic receptor,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxazosin,Alpha-1D adrenergic receptor,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxazosin,Potassium voltage-gated channel subfamily H member 2,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxazosin,Potassium voltage-gated channel subfamily H member 6,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxazosin,Potassium voltage-gated channel subfamily H member 7,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1
Doxepin,Histamine H1 receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Histamine H2 receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Sodium-dependent noradrenaline transporter,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Sodium-dependent serotonin transporter,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,5-hydroxytryptamine receptor 2A,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,5-hydroxytryptamine receptor 2B,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,5-hydroxytryptamine receptor 2C,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Muscarinic acetylcholine receptor M1,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Muscarinic acetylcholine receptor M2,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Muscarinic acetylcholine receptor M3,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Muscarinic acetylcholine receptor M4,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Muscarinic acetylcholine receptor M5,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Alpha-1A adrenergic receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Alpha-1B adrenergic receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Alpha-1D adrenergic receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,5-hydroxytryptamine receptor 1A,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,5-hydroxytryptamine receptor 6,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Histamine H4 receptor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxepin,Potassium voltage-gated channel subfamily H member 2,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12
Doxercalciferol,Vitamin D3 receptor,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C
Doxofylline,"Phosphodiesterase 2A, cGMP-stimulated",CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
Doxofylline,Adenosine receptor A2a,CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
Doxofylline,Beta-2 adrenergic receptor,CN1C2=C(N(CC3OCCO3)C=N2)C(=O)N(C)C1=O
Doxorubicin,DNA topoisomerase 2-alpha,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Doxorubicin,Nucleolar and coiled-body phosphoprotein 1,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O
Doxylamine,Muscarinic acetylcholine receptor M1,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1
Doxylamine,Histamine H1 receptor,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1
Doxylamine,Nuclear receptor subfamily 1 group I member 3,CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=N1
Dpb-T,"5'(3')-deoxyribonucleotidase, mitochondrial",[H][C@]1(C[C@]2([H])O[C@@](OC[C@]2([H])O1)(C1=CC=CC=C1)P(O)(O)=O)N1C=C(C)C(=O)NC1=O
Dronabinol,Cannabinoid receptor 1,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
Dronabinol,Cannabinoid receptor 2,[H][C@@]12C=C(C)CC[C@@]1([H])C(C)(C)OC1=C2C(O)=CC(CCCCC)=C1
Dronedarone,Alpha-1A adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Alpha-1B adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Alpha-1D adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Alpha-2A adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Alpha-2B adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Alpha-2C adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Beta-1 adrenergic receptor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Potassium voltage-gated channel subfamily H member 2,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit alpha-1C,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit alpha-1D,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit alpha-1F,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit alpha-1S,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit beta-1,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit beta-2,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit beta-3,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Voltage-dependent L-type calcium channel subunit beta-4,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Sodium channel protein type 1 subunit alpha,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Dronedarone,Potassium channel subfamily K member 2,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2
Droperidol,D(2) dopamine receptor,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
Droperidol,Alpha-1A adrenergic receptor,FC1=CC=C(C=C1)C(=O)CCCN1CCC(=CC1)N1C(=O)NC2=CC=CC=C12
Drospirenone,Progesterone receptor,[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21
Drospirenone,Mineralocorticoid receptor,[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21
Drospirenone,Androgen receptor,[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21
Drostanolone,Androgen receptor,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)[C@H](C)C[C@]12C
Drotaverine,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A",CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1
Drotaverine,Voltage-dependent L-type calcium channel subunit alpha-1C,CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1
Drotrecogin alfa,Coagulation factor VIII,
Drotrecogin alfa,Coagulation factor V,
Drotrecogin alfa,Prothrombin,
Drotrecogin alfa,Plasminogen activator inhibitor 1,
Drotrecogin alfa,Vitamin K-dependent gamma-carboxylase,
Drotrecogin alfa,Vitamin K-dependent protein S,
Drotrecogin alfa,Platelet factor 4,
Drotrecogin alfa,Ceruloplasmin,
Drotrecogin alfa,Thrombomodulin,
Drotrecogin alfa,Endothelial protein C receptor,
Drotrecogin alfa,Plasma serine protease inhibitor,
Drotrecogin alfa,Serpin B6,
Droxicam,Prostaglandin G/H synthase 1,CN1C2=C(OC(=O)N(C2=O)C2=CC=CC=N2)C2=CC=CC=C2S1(=O)=O
Droxicam,Prostaglandin G/H synthase 2,CN1C2=C(OC(=O)N(C2=O)C2=CC=CC=N2)C2=CC=CC=C2S1(=O)=O
Droxidopa,Alpha-1A adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Alpha-1B adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Alpha-1D adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Alpha-2A adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Alpha-2B adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Alpha-2C adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Beta-1 adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Beta-2 adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Beta-3 adrenergic receptor,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Droxidopa,Phenylalanine-4-hydroxylase,N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O
Dulaglutide,Glucagon-like peptide 1 receptor,
Duloxetine,Sodium-dependent serotonin transporter,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
Duloxetine,Sodium-dependent noradrenaline transporter,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
Duloxetine,Sodium-dependent dopamine transporter,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1
Dupilumab,Interleukin-4 receptor subunit alpha,
Duroquinone,NAD(P)H dehydrogenase [quinone] 1,CC1=C(C)C(=O)C(C)=C(C)C1=O
Durvalumab,Programmed cell death 1 ligand 1,
Durvalumab,T-lymphocyte activation antigen CD80,
Dutasteride,3-oxo-5-alpha-steroid 4-dehydrogenase 1,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F
Dutasteride,3-oxo-5-alpha-steroid 4-dehydrogenase 2,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])NC(=O)C=C[C@]4(C)[C@@]3([H])CC[C@]12C)C(=O)NC1=CC(=CC=C1C(F)(F)F)C(F)(F)F
Dutogliptin,Dipeptidyl peptidase 4,OB(O)[C@@H]1CCCN1C(=O)CN[C@@H]1CCNC1
Duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1
Duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1
Duvoglustat,Xylose isomerase,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
Duvoglustat,Cyclomaltodextrin glucanotransferase,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
Duvoglustat,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
Duvoglustat,"Mannosyl-oligosaccharide alpha-1,2-mannosidase",OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
Duvoglustat,Beta-glucosidase A,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O
Dyclonine,Sodium channel protein type 10 subunit alpha,CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1
Dydrogesterone,Progesterone receptor,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C
